plot;tree.n;h.status.x;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;Ndef.m;Ntindex;Ndindex;basalA.hectare;stands.hectare;slope;comp;aridity.index;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mass;Ca.mol;Mg.mass;Mg.mol;K.mass;K.mol;Na.mass;Na.mol;humid;sand;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;NMDS1;NMDS2
Yeguerizo;480;H;35;-0.179;0.76;0.786;NA;NA;-1.244;-0.964;-1.077;-1.19;-0.934;-0.967;NA;NA;NA;-0.353;NA;NA;NA;-0.348;-0.454;-0.515;-0.626;-0.238;-0.786;-1.117;-1.458;-1.171;2.082;2.246;-0.473;-0.102;-0.8713246;-0.867768112;0.138;2.486;-0.598;-0.765;-0.765;-0.142;-0.143;-0.879;-0.879;-1.478;-1.481;0.253;0.999;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.701892804;-0.709327253;1.440778511;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;1.018383102;1.77788115
Yeguerizo;481;H;35;0.287;0.76;1.149;0.574;3.573;-0.788;-0.964;-1.077;-1.19;-0.835;-0.979;NA;NA;NA;-0.353;NA;NA;NA;-0.348;0.228;0.118;0.054;0.577;-0.786;-1.042;-1.47;-1.171;2.086;2.246;-0.492;-0.102;0.511421244;0.851323489;0.385;2.233;-0.379;-0.078;-0.078;-0.315;-0.315;-0.608;-0.608;-1.088;-1.089;-0.027;1.649;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.660966949;1.844570747
Yeguerizo;482;H;20;0.194;-0.102;-0.098;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.835;-1.016;NA;NA;NA;-0.353;NA;NA;NA;-0.348;-0.564;-0.033;-0.513;0.146;-0.181;-1.102;-1.938;-1.171;2.08;2.246;-1.119;-0.102;0.125509449;-0.021245733;0.081;1.703;1.576;-0.833;-0.833;-0.597;-0.595;-0.871;-0.871;-0.93;-0.93;0.003;0.562;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.726559739;2.158214367
Yeguerizo;483;H;10;-0.179;-0.102;0.263;1.111;NA;-0.788;-0.964;-1.077;-1.19;-0.657;-0.935;NA;NA;NA;-0.353;NA;NA;NA;-0.348;-0.752;0.547;-0.482;0.362;-0.181;-1.087;-1.002;-1.171;2.079;2.246;-1.562;-0.102;-0.373536096;-0.623578964;-0.22;0.889;-0.586;-0.925;-0.925;-0.699;-0.698;-0.929;-0.929;-0.465;-0.463;-0.242;0.92;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.669600341;1.638324003
Yeguerizo;484;H;15;1.031;-0.225;1.045;NA;NA;-0.788;-0.21;-1.077;0.635;-0.588;-0.807;NA;NA;NA;-0.353;NA;NA;NA;0.225;-0.259;0.344;-0.2;0.759;0.021;-1.042;-1.704;-1.171;2.079;2.248;0.819;-0.102;-0.560835306;-0.784743802;-0.574;0.906;-0.663;-0.417;-0.417;-0.009;-0.007;-0.798;-0.798;-0.566;-0.569;-0.302;1.628;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.648082176;-0.709327253;0.160546158;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.046819603;1.399288045
Yeguerizo;485;H;10;-0.504;-0.163;-0.336;1.004;0.707;-0.788;-0.964;-1.077;-1.19;-0.736;-0.918;NA;NA;NA;-0.353;NA;NA;NA;-0.348;-0.283;0.777;-0.038;1.149;-0.181;-1.117;-1.741;-1.171;2.081;2.25;-1.58;-0.102;-1.167986435;-1.179516257;-0.292;0.489;-0.583;-1.089;-1.088;-0.866;-0.866;-0.905;-0.905;-1.118;-1.121;-0.661;1.425;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.636926146;1.599144581
Yeguerizo;486;H;5;0.054;-0.04;0.496;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.796;-0.932;NA;NA;NA;-0.353;NA;NA;NA;-0.348;-0.688;0.353;-0.453;0.847;0.222;-0.966;-1.84;-1.171;2.084;2.249;-1.802;-0.102;-0.510553639;-0.548694292;-0.346;1.051;-0.385;-1.042;-1.042;-0.952;-0.95;-0.894;-0.894;-0.558;-0.558;-0.152;1.426;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.657596565;1.634138818
Yeguerizo;487;H;20;1.357;0.576;2.121;1.342;NA;-0.332;-0.587;-0.764;-1.015;-0.519;-0.901;NA;NA;NA;-0.353;NA;NA;NA;-0.3;0.347;1.025;0.815;1.662;-0.383;-1.117;-1.963;-1.171;2.097;2.25;-0.916;-0.102;-0.974402017;-0.939396929;-0.152;1.508;-0.299;-0.524;-0.524;-0.322;-0.32;-0.85;-0.849;-0.315;-0.315;-0.395;1.421;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.791577185;-0.689318825;-1.065916437;-0.949421453;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.425742386;1.489521556
Yeguerizo;488;H;10;1.31;-0.286;0.038;NA;NA;-0.788;-0.587;-1.077;-0.207;-0.736;-0.77;NA;NA;NA;-0.353;NA;NA;NA;0.091;-0.198;0.646;0.05;1.231;-0.181;-1.042;-1.63;-1.171;2.099;2.25;0.653;-0.102;-1.007085101;-1.139306444;-0.373;0.609;-0.634;-0.468;-0.468;0.239;0.24;-0.814;-0.814;-0.374;-0.378;-0.514;1.475;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.538467932;-0.709327253;0.800662335;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.352204604;1.20761631
Yeguerizo;489;H;15;0.519;0.612;2.698;1.521;3.027;-0.788;-0.964;-1.077;-1.19;-0.872;-0.952;NA;NA;NA;-0.353;NA;NA;NA;-0.348;0.143;0.219;0.09;0.589;-0.181;-1.117;-1.901;-1.171;2.1;2.252;-1.341;-0.102;-0.810986599;-0.742417683;-0.201;1.53;0.472;-0.913;-0.913;-0.368;-0.367;-0.913;-0.912;-0.966;-0.961;-0.302;1.451;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.674612547;1.696253674
